shift_no_1,site_code_1,next_site_code_1,shift_no_2,site_code_2,next_site_code_2
2309031128943073,515VH,551WH,2309031128943073,515VH,551WH
2309031128955097,531WH,535WH,2309031128955097,531WH,535WH
2309031128960840,535WH,536WH,2309031128960840,535WH,536WH
2309031128962253,536WH,371WH,2309031128962253,536WH,371WH
2309031128962283,536WH,510WH,2309031128962283,536WH,510WH
2309031128962313,536WH,530VH,2309031128962313,536WH,530VH
2309031128970721,551WH,558WH,2309031128970721,551WH,558WH
2309031128972653,553WH,351WF,2309031128972653,553WH,351WF
2309031128972653,553WH,371WH,2309031128972653,553WH,371WH
2309031128981745,510WH,514WH,2309031128981745,510WH,514WH
2309031128981805,510WH,515VH,2309031128981805,510WH,515VH
2309031129005685,531WH,535WH,2309031129005685,531WH,535WH
2309031129012429,535WH,536WH,2309031129012429,535WH,536WH
2309031129020299,551WH,371WH,2309031129020299,551WH,371WH
2309031129022169,551WH,558WH,2309031129022169,551WH,558WH
2309031129022229,551WH,769WK,2309031129022229,551WH,769WK
2309031129036204,411WH,024WH,2309031129036204,411WH,024WH
2309031129055403,510WH,371WH,2309031129055403,510WH,371WH
2309031129062571,510WH,025WH,2309031129062571,510WH,025WH
2309031129062601,510WH,025WH,2309031129062601,510WH,025WH
2309031129071444,512WH,514WH,2309031129071444,512WH,514WH
2309031129095648,512WH,513WH,2309031129095648,512WH,513WH
2309031129099789,514WH,510WH,2309031129099789,514WH,510WH
2309031129114807,510WH,513WH,2309031129114807,510WH,513WH
2309031129114837,510WH,513WH,2309031129114837,510WH,513WH
2309031129115055,510WH,551WH,2309031129115055,510WH,551WH
2309031129130257,516WH,531WH,2309031129130257,516WH,531WH
2309031129144834,512WH,595WH,2309031129144834,512WH,595WH
2309031129156290,519WH,021WW,2309031129156290,519WH,021WW
2309031129158993,530VH,510WH,2309031129158993,530VH,510WH
2309031129162436,531WH,535WH,2309031129162436,531WH,535WH
2309031129162466,531WH,535WH,2309031129162466,531WH,535WH
2309031129169828,536WH,871WH,2309031129169828,536WH,871WH
2309031129177447,551WH,021WW,2309031129177447,551WH,021WW
2309031129179417,553WH,558WH,2309031129179417,553WH,558WH
2309031129191970,510WH,517WH,2309031129191970,510WH,517WH
2309031129215371,510WH,514WH,2309031129215371,510WH,514WH
2309031129227219,513WH,514WH,2309031129227219,513WH,514WH
2309031129230999,516WH,517WH,2309031129230999,516WH,517WH
2309031129232141,517WH,371WH,2309031129232141,517WH,371WH
2309031129257242,531WH,535WH,2309031129257242,531WH,535WH
2309031129257272,531WH,536WH,2309031129257272,531WH,536WH
2309031129264319,536WH,351WF,2309031129264319,536WH,351WF
2309031129267429,539WH,021WW,2309031129267429,539WH,021WW
2309031129274731,553WH,024WH,2309031129274731,553WH,024WH
2309031129274993,553WH,027WK,2309031129274993,553WH,027WK
2309031129274993,553WH,7311WJ,2309031129274993,553WH,7311WJ
2309031129296063,512WH,513WH,2309031129296063,512WH,513WH
2309031129296063,512WH,515VH,2309031129296063,512WH,515VH
2309031129303693,517WH,791WH,2309031129303693,517WH,791WH
2309031129312317,531WH,536WH,2309031129312317,531WH,536WH
2309031129319370,536WH,028WH,2309031129319370,536WH,028WH
2309031129322428,539WH,531WH,2309031129322428,539WH,531WH
2309031129328322,551WH,7311WJ,2309031129328322,551WH,7311WJ
2309031129362382,510WH,351WF,2309031129362382,510WH,351WF
2309031129371994,513WH,512WH,2309031129371994,513WH,512WH
2309031129372080,513WH,573XF,2309031129372080,513WH,573XF
2309031129372080,513WH,574WG,2309031129372080,513WH,574WG
2309031129373131,514WH,536WH,2309031129373131,514WH,536WH
2309031129385778,531WH,535WH,2309031129385778,531WH,535WH
2309031129393382,536WH,022WH,2309031129393382,536WH,022WH
2309031129421984,510WH,517WH,2309031129421984,510WH,517WH
2309031129430142,512WH,371WH,2309031129430142,512WH,371WH
2309031129433752,513WH,536WH,2309031129433752,513WH,536WH
2309031129447596,512WH,553WH,2309031129447596,512WH,553WH
2309031129451870,514WH,510WH,2309031129451870,514WH,510WH
2309031129464566,531WH,536WH,2309031129464566,531WH,536WH
2309031129467581,532WH,535WH,2309031129467581,532WH,535WH
2309031129467603,532WH,536WH,2309031129467603,532WH,536WH
2309031129479908,516WH,022WH,2309031129479908,516WH,022WH
2309031129479968,516WH,517WH,2309031129479968,516WH,517WH
