area_code,PRO_NAME,LEVEL_2_TYPE,priority_no,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
755Y,其他常温水果项目,草莓,12,万元,生鲜果蔬类,
517Y,海鲜水产项目,水鱼,1,万元,海鲜水产类,
760Y,肉类熟食项目,红肠,5,万元,生鲜肉类,
760Y,其他常温水果项目,其他水果,6,万元,生鲜果蔬类,
371Y,活体项目,禽类,26,万元,活体类,
517Y,活体项目,禽类,14,万元,活体类,
010Y,荔枝项目,荔枝,24,万元,生鲜果蔬类,
010Y,花卉苗木项目,鲜花,14,万元,花卉苗木类,
591Y,蔬菜项目,笋,7,万元,生鲜果蔬类,
020Y,樱桃项目,樱桃,20,万元,生鲜果蔬类,
851Y,滋补品项目,中药材,6,万元,南北干货类,
731Y,粮油副食项目,黄豆,4,万元,粮油米面调料类,
431Y,蔬菜项目,萝卜,2,万元,生鲜果蔬类,
531Y,蟹项目,海蟹,17,万元,海鲜水产类,
029Y,梨项目,梨,20,万元,生鲜果蔬类,
029Y,花卉苗木项目,花木盆景,17,万元,花卉苗木类,
760Y,龙眼项目,龙眼,7,万元,生鲜果蔬类,
871Y,粮油副食项目,粮油米面调料,10,万元,粮油米面调料类,
023Y,蔬菜项目,圣女果,9,万元,生鲜果蔬类,
023Y,桔橙项目,桔橙,2,万元,生鲜果蔬类,
010Y,蟹项目,海蟹,15,万元,海鲜水产类,
010Y,草莓项目,草莓,19,万元,生鲜果蔬类,
020Y,蟹项目,青蟹,18,万元,海鲜水产类,
020Y,茶叶项目,茶叶,4,万元,茶叶类,
851Y,火龙果项目,火龙果,20,万元,生鲜果蔬类,
451Y,海鲜水产项目,其他海鲜水产,7,万元,海鲜水产类,
531Y,肉类熟食项目,肉丸,1,万元,生鲜肉类,
311Y,蔬菜项目,其他蔬菜,6,万元,生鲜果蔬类,
311Y,花卉苗木项目,树苗,7,万元,花卉苗木类,
791Y,大米项目,大米,12,万元,粮油米面调料类,
532Y,肉类熟食项目,其他肉类熟食,7,万元,生鲜肉类,
513Y,瓜项目,哈密瓜,13,万元,生鲜果蔬类,
931Y,肉类熟食项目,其他肉类熟食,11,万元,生鲜肉类,
371Y,其他常温水果项目,桔橙,14,万元,生鲜果蔬类,
027Y,蔬菜项目,莲藕,2,万元,生鲜果蔬类,
027Y,蔬菜项目,羊肚菌,2,万元,生鲜果蔬类,
027Y,参茸项目,鹿产品类,20,万元,南北干货类,
431Y,蔬菜项目,山菜,2,万元,生鲜果蔬类,
791Y,肉类熟食项目,红肠,3,万元,生鲜肉类,
536Y,蔬菜项目,辣椒,3,万元,生鲜果蔬类,
513Y,蔬菜项目,笋,4,万元,生鲜果蔬类,
595Y,樱桃项目,樱桃,20,万元,生鲜果蔬类,
592Y,其他常温水果项目,香蕉,5,万元,生鲜果蔬类,
351Y,蔬菜项目,其他蔬菜,10,万元,生鲜果蔬类,
028Y,干货项目,南北干货,8,万元,南北干货类,
752Y,其他常温水果项目,圣女果,8,万元,生鲜果蔬类,
752Y,肉类熟食项目,其他肉类熟食,2,万元,生鲜肉类,
760Y,花卉苗木项目,树苗,12,万元,花卉苗木类,
579Y,活体项目,禽类,18,万元,活体类,
574Y,活体项目,虫类,21,万元,活体类,
010Y,蔬菜项目,羊肚菌,13,万元,生鲜果蔬类,
010Y,瓜项目,网纹瓜,4,万元,生鲜果蔬类,
757Y,滋补品项目,银耳,5,万元,南北干货类,
020Y,其他常温水果项目,黄皮,12,万元,生鲜果蔬类,
513Y,粮油副食项目,粮油米面调料,5,万元,粮油米面调料类,
028Y,其他生鲜项目,无花果,30,万元,生鲜果蔬类,
752Y,滋补品项目,蜂蜜,7,万元,其他,
760Y,蟹项目,青蟹,18,万元,海鲜水产类,
023Y,龙虾项目,虾类,24,万元,海鲜水产类,
