area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
027Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
027Y,常温水果项目,生鲜水果,,生鲜类,莲雾/黑金刚莲雾
029Y,海鲜水产项目,海鲜水产,,生鲜类,皮皮虾
029Y,常温水果项目,生鲜水果,,生鲜类,其它水果
311Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,木耳
351Y,海鲜水产项目,海鲜水产,,生鲜类,其它海鲜
431Y,蟹项目,蟹类,,生鲜类,蟹肉蟹杂
451Y,肉类熟食项目,生鲜蛋品,,生鲜类,其它蛋类
510Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
512Y,预制菜项目,熟食类,,副食干货类,香肠火腿
513Y,蟹项目,蟹类,,生鲜类,蟹肉蟹杂
517Y,预制菜项目,冻食类,,副食干货类,汤圆
531Y,枣项目,生鲜水果,,生鲜类,冬枣/鲜枣
531Y,蟹项目,蟹类,,生鲜类,螃蟹
531Y,参茸项目,生鲜蔬菜,,生鲜类,松茸
536Y,禽鱼项目,活体类,万元,生鲜类,虫类
536Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
536Y,茶叶项目,茶类,,副食干货类,红茶
551Y,常温水果项目,生鲜水果,,生鲜类,菠萝
571Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
571Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
574Y,常温水果项目,生鲜水果,,生鲜类,覆盆莓
591Y,花卉苗木项目,绿植园艺,,农业生产,永生花
595Y,蔬菜项目,生鲜蔬菜,,生鲜类,花菜
731Y,常温水果项目,生鲜水果,,生鲜类,菠萝
752Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸽子蛋/鹌鹑蛋
752Y,参茸项目,中药材,,医药保健,鹿茸
757Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
757Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
760Y,粽子项目,熟食类,万元,副食干货类,粽子
769Y,滋补品项目,保健滋补,,医药保健,燕窝
769Y,滋补品项目,中药材,,医药保健,鹿鞭
769Y,茶叶项目,茶类,,副食干货类,罗汉果
771Y,葡萄项目,生鲜水果,万元,生鲜类,红提/葡萄
791Y,滋补品项目,中药材,,医药保健,枸杞
791Y,海鲜水产项目,海鲜水产,,生鲜类,海蜇/海蜇头
791Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
791Y,茶叶项目,茶类,,副食干货类,乌龙茶
851Y,蔬菜项目,生鲜蔬菜,,生鲜类,西红柿/番茄
898Y,瓜项目,生鲜水果,,生鲜类,西瓜
898Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
898Y,常温水果项目,生鲜水果,,生鲜类,黄皮果
931Y,常温水果项目,生鲜水果,,生鲜类,鲜核桃
991Y,常温水果项目,生鲜水果,,生鲜类,菠萝蜜
010Y,蔬菜项目,生鲜蔬菜,,生鲜类,椿菜
022Y,茶叶项目,茶类,,副食干货类,普洱
023Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
024Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
025Y,滋补品项目,保健滋补,,医药保健,阿胶
027Y,预制菜项目,熟食类,,副食干货类,熟食蛋类
027Y,花卉苗木项目,绿植园艺,,农业生产,种子种球
029Y,牛羊肉项目,生鲜肉类,,生鲜类,牛排
029Y,花卉苗木项目,绿植园艺,,农业生产,种子种球
311Y,蔬菜项目,生鲜蔬菜,,生鲜类,土豆
311Y,常温水果项目,生鲜水果,,生鲜类,香蕉
316Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
316Y,茶叶项目,茶类,,副食干货类,绿茶
451Y,滋补品项目,中药材,,医药保健,金银花
451Y,李子项目,生鲜水果,万元,生鲜类,李子
451Y,常温水果项目,生鲜水果,,生鲜类,菠萝
510Y,蔬菜项目,生鲜蔬菜,,生鲜类,洋葱
512Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
517Y,肉类熟食项目,生鲜蛋品,,生鲜类,鸟蛋
551Y,蔬菜项目,生鲜蔬菜,,生鲜类,其它新鲜蔬菜
574Y,常温水果项目,生鲜水果,,生鲜类,释迦果
579Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
