3、流向静态底表，old_city_code数据量统计（截止20230612）,,,
cityflow,inc_day,sum(all_waybill_num),sum(all_quantity)
910-593,20191118,1,1
910-711,20191118,1,1
910-595,20191118,3,3
910-021,20191118,3,3
910-591,20191118,1,1
910-029,20191118,4,8
910-512,20191117,11,11
910-029,20191117,1,1
910-571,20191117,1,1
910-769,20191117,1,1
910-510,20191117,2,2
910-755,20191117,1,1
910-021,20191117,5,5
910-510,20191116,4,4
910-027,20191116,1,1
910-021,20191116,8,8
910-755,20191116,1,1
910-023,20191116,1,1
910-512,20191116,10,10
910-311,20191116,1,1
910-029,20191116,4,4
910-023,20191115,2,2
910-027,20191115,1,1
910-772,20191115,1,1
910-7311,20191115,1,1
910-912,20191115,1,1
910-021,20191115,23,23
910-711,20191115,1,1
910-020,20191115,1,1
910-551,20191115,1,1
910-512,20191115,17,17
910-029,20191115,4,4
910-595,20191115,4,4
910-510,20191115,2,2
910-010,20191115,1,1
910-769,20191114,5,5
910-635,20191114,2,2
910-913,20191114,1,1
910-510,20191114,3,3
910-755,20191114,6,6
910-763,20191114,1,1
910-027,20191114,3,3
910-021,20191114,30,30
910-029,20191114,1,1
910-595,20191114,1,1
910-512,20191114,46,46
910-319,20191113,1,1
910-755,20191113,2,2
910-022,20191113,1,1
910-574,20191113,1,1
910-510,20191113,14,14
910-023,20191113,1,1
910-027,20191113,8,8
910-010,20191113,2,2
910-769,20191113,6,6
910-021,20191113,26,26
910-029,20191113,8,8
910-595,20191113,3,3
910-471,20191113,1,1
910-512,20191113,82,82
910-020,20191113,1,1
910-912,20191113,1,1
910-551,20191113,1,1
910-020,20191112,1,1
910-451,20191112,1,1
910-769,20191112,2,2
910-021,20191112,15,15
910-510,20191112,2,2
910-755,20191112,1,1
910-595,20191112,1,1
910-512,20191112,108,108
910-029,20191112,6,6
910-316,20191112,7,7
910-872,20191112,1,1
910-512,20191111,2,2
910-913,20191111,1,1
910-029,20191111,1,1
910-916,20191111,1,1
910-021,20191111,4,4
910-021,20191110,2,2
910-595,20191110,1,1
910-594,20191110,2,2
910-029,20191110,2,2
910-512,20191109,1,1
910-021,20191109,1,1
910-769,20191108,3,3
910-021,20191108,4,4
910-512,20191108,1,1
910-029,20191107,1,1
910-021,20191107,3,3
910-023,20191106,1,1
910-769,20191106,1,1
910-021,20191106,1,1
910-512,20191106,3,3
7312-731,20191102,1,1
737-731,20191102,1,1
910-029,20191101,1,1
739-731,20191031,1,1
735-731,20191020,1,1
021-565,20190928,1,1
735-731,20190910,1,1
736-731,20190902,1,1
759-731,20190722,1,1
472-731,20190718,1,1
010-731,20190710,1,1
010-888,20190628,1,1
023-731,20190608,1,1
871-731,20190521,1,15
010-888,20190520,1,1
871-731,20190513,1,1
351-731,20190331,1,1
351-731,20190312,1,2
351-731,20190227,1,2
731-028,20190219,1,1
731-023,20190213,1,1
731-027,20190131,1,1
731-7311,20190125,2,5
731-730,20190125,1,1
731-7311,20190124,1,1
871-731,20190123,1,8
351-731,20190122,1,10
731-7311,20190121,1,1
731-#,20190119,1,1
351-731,20190111,1,10
731-027,20181225,1,1
574-565,20181206,1,1
731-027,20181203,1,1
731-027,20181123,1,1
731-027,20181030,1,1
518-731,20180928,1,1
512-731,20180920,2,2
7311-731,20180910,1,1
791-731,20180907,1,1
736-565,20180903,1,1
029-731,20180902,1,1
580-731,20180826,1,1
755-731,20180709,2,2
010-731,20180523,1,1
023-731,20180522,1,1
755-731,20180519,1,1
752-731,20180518,1,1
760-731,20180518,1,1
7311-731,20180517,1,1
021-731,20180516,1,1
755-731,20180516,1,1
7311-731,20180516,1,1
020-731,20180516,1,1
021-731,20180515,1,1
020-731,20180515,1,1
730-731,20180515,1,1
028-731,20180515,1,1
7311-731,20180514,1,1
571-731,20180514,1,1
746-731,20180514,1,1
029-731,20180513,1,1
021-731,20180513,1,1
752-731,20180512,1,1
020-731,20180512,1,1
516-731,20180510,1,1
7311-731,20180510,2,2
020-731,20180510,1,1
010-731,20180510,1,1
020-731,20180509,1,1
510-731,20180509,1,1
7311-731,20180508,1,1
773-731,20180507,1,1
010-731,20180504,1,1
7311-731,20180504,1,1
735-731,20180504,2,2
750-731,20180504,1,1
752-731,20180503,2,2
021-731,20180502,1,1
735-731,20180501,1,1
752-731,20180501,1,1
510-731,20180430,1,1
735-731,20180429,1,1
571-731,20180428,1,1
7311-731,20180428,1,1
010-731,20180428,2,2
791-731,20180428,1,1
028-731,20180427,1,1
735-731,20180427,1,1
791-731,20180427,1,1
020-731,20180427,1,1
755-731,20180126,1,1
